created_at_utc,run_path,metrics_json,output_root,seed,method_tag,defense_variant,only_attack,refine_epochs,ssl_weight,pdb_weight,pdb_batch_ratio,pdb_apply_inference_trigger,pdb_warmup_ratio,ssl_warmup_ratio,aux_loss_cap_ratio,pretrained_attack_model_path,attack_ba,attack_asr,refine_ba,refine_asr,ba_drop,asr_drop,total_time_hms,refine_time_hms,json_mtime_utc
2026-03-26T13:58:04Z,experiments/badnets_Decoupled_refine_pdb_ssl_e50_s666,experiments/badnets_Decoupled_refine_pdb_ssl_e50_s666/metrics_summary.json,./experiments/minimal_decoupled_pdb/badnets_Decoupled_refine_pdb_ssl_e50_s666,666,RSB,refine_pdb_ssl,badnets,50,0.02,0.3,0.2,False,0.4,0.4,1.5,./experiments/pdb_b_badnets_s666/runs/CIFAR10_ResNet18_BadNets_2026-03-25_15-19-31/ckpt_epoch_200.pth,0.9182,0.9731,0.8414,0.1030,0.0768,0.8701,01:03:20,01:03:14,2026-03-26T13:44:34Z
2026-03-26T13:58:04Z,experiments/badnets_RSB_refine_pdb_ssl_e50_s666,experiments/badnets_RSB_refine_pdb_ssl_e50_s666/metrics_summary.json,./experiments/minimal_decoupled_pdb/badnets_RSB_refine_pdb_ssl_e50_s666,666,RSB,refine_pdb_ssl,badnets,50,0.02,0.3,0.2,True,0.4,0.4,1.5,./experiments/pdb_b_badnets_s666/runs/CIFAR10_ResNet18_BadNets_2026-03-25_15-19-31/ckpt_epoch_200.pth,0.9182,0.9731,0.8511,0.1153,0.0671,0.8578,01:02:56,01:02:50,2026-03-26T13:42:23Z
2026-03-26T13:58:04Z,experiments/badnets_R_refine_e50_s666,experiments/badnets_R_refine_e50_s666/metrics_summary.json,./experiments/minimal_decoupled_pdb/badnets_R_refine_e50_s666,666,R,refine,badnets,50,0.02,0.5,0.5,True,0.3,0.3,1.5,./experiments/pdb_b_badnets_s666/runs/CIFAR10_ResNet18_BadNets_2026-03-25_15-19-31/ckpt_epoch_200.pth,0.9182,0.9731,0.8537,0.1147,0.0645,0.8584,00:21:26,00:21:20,2026-03-26T13:43:17Z
2026-03-26T13:58:04Z,experiments/badnets_refine/runs,experiments/badnets_refine/runs/metrics_summary.json,./experiments/test/badnets_refine/runs,666,R,refine,badnets,150,,,,,,,,,0.9141,0.9729,0.9010,0.1049,0.0131,0.8680,01:26:57,00:58:46,2026-03-25T14:20:33Z
2026-03-26T13:58:04Z,experiments/exp_refine_pdb_ssl_a_s666,experiments/exp_refine_pdb_ssl_a_s666/metrics_summary.json,./experiments/exp_refine_pdb_ssl_a_s666,666,RSB,refine_pdb_ssl,badnets,150,0.001,0.05,0.1,False,,,,./experiments/pdb_b_badnets_s666/runs/CIFAR10_ResNet18_BadNets_2026-03-25_15-19-31/ckpt_epoch_200.pth,0.9182,0.9731,0.8403,0.1039,0.0779,0.8692,03:07:16,03:07:10,2026-03-26T00:51:52Z
2026-03-26T13:58:04Z,experiments/final/seed777/runs,experiments/final/seed777/runs/metrics_summary.json,./experiments/final/seed777/runs,777,RS,refine_ssl,badnets,30,0.004,,,,,,,,0.8048,0.9615,0.8203,0.1165,-0.0155,0.8450,00:36:22,00:31:50,2026-03-25T14:00:54Z
2026-03-26T13:58:04Z,experiments/pdb_a_badnets_s666_refine_only_from_ckpt,experiments/pdb_a_badnets_s666_refine_only_from_ckpt/metrics_summary.json,./experiments/pdb_a_badnets_s666_refine_only_from_ckpt,666,RB,refine_pdb,badnets,150,0.02,0.15,0.3,False,,,,./experiments/pdb_a_badnets_s666/runs/CIFAR10_ResNet18_BadNets_2026-03-25_15-16-41/ckpt_epoch_200.pth,0.9152,0.9731,0.8783,0.1033,0.0369,0.8698,01:21:46,01:21:39,2026-03-25T13:53:55Z
2026-03-26T13:58:04Z,experiments/quick_diag/ssl_w0/runs,experiments/quick_diag/ssl_w0/runs/metrics_summary.json,./experiments/quick_diag/ssl_w0/runs,666,RS,refine_ssl,badnets,15,0.0,,,,,,,,0.7960,0.9627,0.7739,0.1322,0.0221,0.8305,00:24:22,00:19:18,2026-03-25T13:49:34Z
2026-03-26T13:58:04Z,experiments/quick_diag/ssl_w0004_e30_v2/runs,experiments/quick_diag/ssl_w0004_e30_v2/runs/metrics_summary.json,./experiments/quick_diag/ssl_w0004_e30_v2/runs,666,RS,refine_ssl,badnets,30,0.004,,,,,,,,0.7960,0.9627,0.8156,0.1095,-0.0196,0.8532,00:39:07,00:39:00,2026-03-25T13:48:52Z
2026-03-26T13:58:04Z,experiments/quick_diag/ssl_w0005_e30_v2/runs,experiments/quick_diag/ssl_w0005_e30_v2/runs/metrics_summary.json,./experiments/quick_diag/ssl_w0005_e30_v2/runs,666,RS,refine_ssl,badnets,30,0.005,,,,,,,,0.7960,0.9627,0.8204,0.1181,-0.0244,0.8446,00:39:16,00:39:08,2026-03-25T13:47:54Z
2026-03-26T13:58:04Z,experiments/quick_diag/ssl_w0008/runs,experiments/quick_diag/ssl_w0008/runs/metrics_summary.json,./experiments/quick_diag/ssl_w0008/runs,666,RS,refine_ssl,badnets,15,0.008,,,,,,,,0.7960,0.9627,0.7398,0.1003,0.0562,0.8624,00:19:40,00:19:33,2026-03-25T13:46:53Z
2026-03-26T13:58:04Z,experiments/runs_full_no_lc,experiments/runs_full_no_lc/metrics_summary.json,./runs_full_no_lc,666,U,,,120,,,,,,,,,0.9054,0.9702,0.8976,0.1032,0.0078,0.8670,05:57:28,,2026-03-18T00:46:14Z
